platform,abstraction,graph_type,problem_size,n_vertices,n_edges,n_levels,max_frontier_width,min_frontier_width,peak_frontier_fraction,n_runs,median_gflops,mean_gflops,std_gflops,iqr_gflops,cv_pct,min_gflops,max_gflops,q1_gflops,q3_gflops,efficiency,eff_gt1_flag,flag_deep_profiling,ppc_tier,frontier_irregularity
amd_mi300x,kokkos,erdos_renyi,small,1024,5177,6,560,1,0.546875,30,0.071576,0.070887,0.001889,0.001581,2.665391,0.066724,0.073627,0.070456,0.072036,5.104404,True,False,excellent,
amd_mi300x,raja,erdos_renyi,small,1024,5177,6,560,1,0.546875,30,0.008396,0.0084,0.000129,0.00014,1.533283,0.008147,0.008665,0.008344,0.008484,0.598752,False,True,poor,
amd_mi300x,sycl,erdos_renyi,small,1024,5177,6,560,1,0.546875,30,0.003832,0.003864,8.2e-05,9.9e-05,2.112764,0.003691,0.004018,0.003814,0.003913,0.273311,False,True,poor,
amd_mi300x,julia,erdos_renyi,small,1024,5138,6,500,1,0.488281,30,0.000774,0.000775,1.5e-05,1.9e-05,1.96315,0.000741,0.000803,0.000766,0.000785,0.055233,False,True,poor,
amd_mi300x,native,erdos_renyi,medium,16384,82329,7,7631,1,0.465759,30,0.168196,0.168844,0.003187,0.004356,1.887283,0.163321,0.174293,0.166894,0.171251,1.0,False,False,native,
amd_mi300x,kokkos,erdos_renyi,medium,16384,82329,7,7631,1,0.465759,29,1.04731,1.044481,0.045208,0.049232,4.32829,0.868926,1.103074,1.024018,1.07325,6.226742,True,False,excellent,
amd_mi300x,raja,erdos_renyi,medium,16384,82329,7,7631,1,0.465759,30,0.13242,0.132523,0.001822,0.00237,1.375041,0.12964,0.137616,0.131448,0.133818,0.787295,False,True,acceptable,
amd_mi300x,sycl,erdos_renyi,medium,16384,82329,7,7631,1,0.465759,30,0.052838,0.05307,0.0012,0.001471,2.26049,0.051312,0.055848,0.052079,0.05355,0.314146,False,True,poor,
amd_mi300x,julia,erdos_renyi,medium,16384,82186,8,10796,1,0.658936,29,0.009383,0.009014,0.001732,0.000159,19.20926,5.3e-05,0.009579,0.009282,0.009441,0.055786,False,True,poor,
amd_mi300x,native,erdos_renyi,large,65536,327013,8,41154,1,0.62796,27,0.498546,0.490279,0.081502,0.022243,16.62361,0.221377,0.589559,0.492195,0.514438,1.0,False,False,native,
amd_mi300x,kokkos,erdos_renyi,large,65536,327013,8,41154,1,0.62796,29,3.454423,3.430238,0.130226,0.094922,3.796412,2.961404,3.579507,3.408764,3.503686,6.928996,True,False,excellent,
amd_mi300x,raja,erdos_renyi,large,65536,327013,8,41154,1,0.62796,30,0.426234,0.425648,0.005112,0.006208,1.200986,0.413035,0.434015,0.422702,0.428909,0.854955,False,False,excellent,
amd_mi300x,sycl,erdos_renyi,large,65536,327013,8,41154,1,0.62796,30,0.179656,0.179482,0.003613,0.003387,2.013163,0.172473,0.190377,0.177354,0.180741,0.36036,False,True,poor,
amd_mi300x,julia,erdos_renyi,large,65536,327791,9,30157,1,0.460159,27,0.033313,0.032493,0.002053,0.000496,6.318627,0.027577,0.03412,0.03309,0.033586,0.06682,False,True,poor,
amd_mi300x,native,2d_grid,small,1024,1984,63,32,1,0.03125,30,0.00054,0.000542,8e-06,1.3e-05,1.450906,0.000528,0.000554,0.000535,0.000548,1.0,False,False,native,
amd_mi300x,kokkos,2d_grid,small,1024,1984,63,32,1,0.03125,30,0.029572,0.029057,0.001123,0.001451,3.866457,0.02581,0.030383,0.028404,0.029855,54.712303,True,False,excellent,
amd_mi300x,raja,2d_grid,small,1024,1984,63,32,1,0.03125,30,0.000386,0.000385,7e-06,8e-06,1.769156,0.000371,0.000395,0.000381,0.000389,0.715079,False,True,acceptable,
amd_mi300x,sycl,2d_grid,small,1024,1984,63,32,1,0.03125,28,0.000162,0.000159,1e-05,1.6e-05,6.345047,0.00014,0.000174,0.000153,0.000168,0.298797,False,True,poor,
amd_mi300x,julia,2d_grid,small,1024,1984,63,32,1,0.03125,29,3.1e-05,3e-05,6e-06,1e-06,18.697296,1e-06,3.2e-05,3e-05,3.1e-05,0.057354,False,True,poor,
amd_mi300x,native,2d_grid,medium,16384,32512,255,128,1,0.007812,30,0.002162,0.002161,3.8e-05,4.9e-05,1.777215,0.002059,0.002216,0.002142,0.00219,1.0,False,False,native,
amd_mi300x,kokkos,2d_grid,medium,16384,32512,255,128,1,0.007812,29,0.433499,0.432842,0.02179,0.022601,5.034054,0.35837,0.466577,0.425834,0.448435,200.461965,True,False,excellent,
amd_mi300x,raja,2d_grid,medium,16384,32512,255,128,1,0.007812,30,0.001526,0.00152,3.1e-05,2.6e-05,2.056235,0.001388,0.001569,0.001508,0.001534,0.705896,False,True,acceptable,
amd_mi300x,sycl,2d_grid,medium,16384,32512,255,128,1,0.007812,30,0.000636,0.000631,1.4e-05,2.1e-05,2.167957,0.000607,0.000655,0.000619,0.00064,0.294104,False,True,poor,
amd_mi300x,julia,2d_grid,medium,16384,32512,255,128,1,0.007812,30,0.00012,0.000119,3e-06,3e-06,2.588201,0.00011,0.000123,0.000118,0.000121,0.05526,False,True,poor,
amd_mi300x,native,2d_grid,large,65536,130560,511,256,1,0.003906,30,0.0043,0.004294,6.4e-05,7.1e-05,1.488996,0.004155,0.004426,0.004264,0.004335,1.0,False,False,native,
amd_mi300x,kokkos,2d_grid,large,65536,130560,511,256,1,0.003906,29,1.430199,1.407751,0.060071,0.050567,4.267149,1.170742,1.466011,1.395408,1.445975,332.604419,True,False,excellent,
amd_mi300x,raja,2d_grid,large,65536,130560,511,256,1,0.003906,30,0.003046,0.003041,5.5e-05,7.2e-05,1.80936,0.002836,0.003105,0.00301,0.003082,0.708256,False,True,acceptable,
amd_mi300x,sycl,2d_grid,large,65536,130560,511,256,1,0.003906,30,0.001344,0.001335,3.9e-05,4.5e-05,2.905742,0.001253,0.001421,0.001314,0.001359,0.312674,False,True,poor,
amd_mi300x,julia,2d_grid,large,65536,130560,511,256,1,0.003906,30,0.000233,0.000232,6e-06,9e-06,2.663883,0.000216,0.000241,0.000228,0.000237,0.054186,False,True,poor,
